Breed,Group,2007,2006,1997,Web Link
Labrador Retriever ,Sporting,1,1,1,http://www.pet-expo.com/trivia/standards/labs50.htm
Yorkshire Terrier ,Toy,2,2,9,http://www.pet-expo.com/trivia/standards/york50.htm
German Shepherd ,Herding,3,3,3,http://www.pet-expo.com/trivia/standards/germshep50.htm
Golden Retriever ,Sporting,4,4,4,http://www.pet-expo.com/trivia/standards/golden50.htm
Beagle ,Hound,5,5,6,http://www.pet-expo.com/trivia/standards/beagle50.htm
Mastiff ,Working,28,32,41,http://www.pet-expo.com/trivia/standards/mastif50.htm
Boxer ,Working,6,7,13,http://www.pet-expo.com/trivia/standards/boxer50.htm
Dachshund ,Hound,7,6,7,http://www.pet-expo.com/trivia/standards/dach50.htm
Poodle ,Non-Sporting Toy,8,8,5,http://www.pet-expo.com/trivia/standards/poodle50.htm
Shih Tzu ,Toy,9,9,11,http://www.pet-expo.com/trivia/standards/shihtzu50.htm
Pug ,Toy,14,13,19,http://www.pet-expo.com/trivia/standards/pug50.htm
Boston Terrier ,Non-Sporting,16,15,20,http://www.pet-expo.com/trivia/standards/bostoter50.htm
Miniature Pinscher ,Toy,26,23,18,http://www.pet-expo.com/trivia/standards/minpin50.htm
English Bulldog ,Non-Sporting ,10,12,26,http://www.pet-expo.com/trivia/standards/bulldog50.htm
Miniature Schnauzer ,Terrier,11,10,14,http://www.pet-expo.com/trivia/standards/minsch50.htm
Chihuahua ,Toy,12,11,12,http://www.pet-expo.com/trivia/standards/chihua50.htm
Pomeranian ,Toy,13,14,10,http://www.pet-expo.com/trivia/standards/pomer50.htm
Rottweiler ,Working,15,17,2,http://www.pet-expo.com/trivia/standards/rotty50.htm
Cocker Spaniel ,Sporting,17,16,8,http://www.pet-expo.com/trivia/standards/cockersp50.htm
German Shorthair Pointer ,,18,19,24,http://www.pet-expo.com/trivia/standards/germshor50.htm
Maltese ,Sporting,19,18,21,http://www.pet-expo.com/trivia/standards/maltese50.htm
Doberman Pinsch ,Working,21,21,22,http://www.pet-expo.com/trivia/standards/dobpinr50.htm
Shetland Sheepdog ,Herding,20,20,15,http://www.pet-expo.com/trivia/standards/shetshee50.htm
Pembroke Welsh Corgi ,Herding,22,22,37,http://www.pet-expo.com/trivia/standards/pembro50.htm
Great Dane ,Working,23,24,29,http://www.pet-expo.com/trivia/standards/grdane50.htm
Siberian Husky ,Working,24,25,16,http://www.pet-expo.com/trivia/standards/sibhusk50.htm
Brittany ,Sporting,29,31,33,http://www.pet-expo.com/trivia/standards/brittany50.htm
Chinese Sharpei ,Non-Sporting,46,47,32,http://www.pet-expo.com/trivia/standards/sharpei50.htm
West Highland  ,Terrier,35,33,36,http://www.pet-expo.com/trivia/standards/westie50.htm
Cavalier Span,Toy,25,27,70,http://www.akc.org/breeds/cavalier_king_charles_spaniel/index.cfm
English Springer Spaniel ,Sporting,27,26,25,http://www.pet-expo.com/trivia/standards/engsprsp50.htm
Bernese Mountain Dog,Working,41,41,62,http://www.pet-expo.com/trivia/standards/bernese_mountain_dog50.htm
Newfoundland ,Working,44,44,49,http://www.pet-expo.com/trivia/standards/50.htm
Weimaraner ,Sporting,30,30,39,http://www.pet-expo.com/trivia/standards/weim50.htm
Basset Hound ,Hound,31,28,23,http://www.pet-expo.com/trivia/standards/basset50.htm
Bichon Frise ,Non-Sporting,32,29,28,http://www.pet-expo.com/trivia/standards/bichon50.htm
Australian Shepherd ,Herding,33,34,40,http://www.pet-expo.com/trivia/standards/ausshep50.htm
French Bulldog,Non-Sporting,34,36,76,http://www.pet-expo.com/trivia/standards/french_bulldog50.htm
Papillon,Toy,36,35,52,http://www.pet-expo.com/trivia/standards/papp50.htm
Havanese ,Toy,37,38,,http://www.pet-expo.com/trivia/standards/havanese50.htm
Collie ,Herding,38,37,30,http://www.pet-expo.com/trivia/standards/collie50.htm
Bloodhound ,Hound,43,45,55,http://www.pet-expo.com/trivia/standards/50.htm
Saint Bernard ,Working,39,39,38,http://www.pet-expo.com/trivia/standards/stbern50.htm
Bullmastiff ,Working,40,40,53,http://www.pet-expo.com/trivia/standards/50.htm
Scottish Terrier ,Terrier,45,42,43,http://www.pet-expo.com/trivia/standards/scotty50.htm
Pekingese ,Toy,50,49,27,http://www.pet-expo.com/trivia/standards/peke50.htm
Vizsla ,Sporting,42,43,50,http://www.pet-expo.com/trivia/standards/vizsla50.htm
Chesa Bay Retr,Sporting,47,50,42,http://www.pet-expo.com/trivia/standards/chessie50.htm
Cairn Terrier ,Terrier,48,48,45,http://www.pet-expo.com/trivia/standards/cairn50.htm
Lhasa Apso ,Non-Sporting,49,46,31,http://www.pet-expo.com/trivia/standards/lhasa50.htm
